url,score
https://newsletter.pragmaticengineer.com/p/scoop-atlassian,1232
https://www.webworm.co/p/glassdoor,1147
https://tips.ariyh.com/p/good-sound-quality-smarter,920
https://tjcx.me/p/i-wasted-40k-on-a-fantastic-startup-idea,851
https://paygo.media/p/25171,825
https://www.computerenhance.com/p/turns-are-better-than-radians,699
https://newsletter.pragmaticengineer.com/p/the-scoop-fast,685
https://www.thediff.co/p/jane-street,671
https://www.jefftk.com/p/why-i-work-on-ads,657
https://www.quastor.org/p/how-whatsapp-scaled-to-1-billion,636
https://bugs.chromium.org/p/project-zero/issues/detail?id=2070&can=2&q=&colspec=ID%20Type%20Status%20Priority%20Milestone%20Owner%20Summary&cells=ids,624
https://www.lennyrachitsky.com/p/how-the-biggest-consumer-apps-got,623
https://www.peachesnstink.com/p/6pJoCuczOj8cxCUQDMlfQv,615
https://blog.tjcx.me/p/40k-fantastic-startup-idea,603
https://newsletter.pragmaticengineer.com/p/project-management-in-tech,589
https://www.slowboring.com/p/the-case-for-banning-non-competes,511
https://www.slowboring.com/p/the-medias-lab-leak-fiasco,501
https://www.platformer.news/p/the-withering-email-that-got-an-ethical,483
https://www.bzarg.com/p/how-a-kalman-filter-works-in-pictures/,481
https://www.thediff.co/p/the-factorio-mindset,464
https://www.cspicenter.com/p/what-diversity-and-inclusion-means,442
https://blog.tjcx.me/p/google-terrible-health-information,439
https://p.dw.com/p/3nzYg,436
https://www.notboring.co/p/excel-never-dies,429
https://bugs.chromium.org/p/project-zero/issues/detail?id=2096,410
https://www.persuasion.community/p/please-stop-imposing-american-views,408
https://www.jefftk.com/p/designing-low-upkeep-software,402
https://www.persuasion.community/p/kids-need-freedom-too,394
https://www.piratewires.com/p/the-crime-of-curiosity,376
https://www.platformer.news/p/-how-basecamp-blew-up,372
https://startupwin.kelsus.com/p/watching-an-acquirer-ruin-your-company,361
https://5to9.beehiiv.com/p/builtwith-generates-14-million-year-zero-employees,360
https://www.slowboring.com/p/im-not-convinced-by-the-new-lab-leak,358
https://blog.fennel.ai/p/real-world-recommendation-system,357
https://blog.thinkst.com/p/if-nsa-has-been-hacking-everything-how.html,355
https://frenchpress.thedispatch.com/p/the-nation-cannot-censor-its-way,353
https://scribe.rip/p/what-every-software-engineer-should-know-about-search-27d1df99f80d,352
https://news.lettersofnote.com/p/please-dont-let-anyone-americanise,352
https://www.garbageday.email/p/when-the-traffic-firehose-is-pointed,346
https://news.lettersofnote.com/p/nirvana,346
https://lastweekin.ai/p/gpt-3-is-no-longer-the-only-game,342
https://thoughts.jatan.space/p/patreon-cuts-deep,334
https://superorganizers.every.to/p/how-hard-should-i-push-myself,322
https://www.jefftk.com/p/what-chords-do-you-need,318
https://www.privatdozent.co/p/the-martians-of-budapest-03b,315
https://www.jefftk.com/p/mosh,312
https://www.leshenko.net/p/ugit/,309
https://www.spakhm.com/p/surviving-disillusionment,308
https://www.lenovo.com/us/en/think-workstations/thinkstation-p-series-towers/ThinkStation-P520/p/33TS3TPP520,308
https://www.letterspatent.org/p/meet-the-patent-troll-that-won-a,305
https://blog.tjcx.me/p/why-is-webmd-so-awful,305
https://hardcoresoftware.learningbyshipping.com/p/012-i-shipped-therefore-i-am,301
https://unchartedterritories.tomaspueyo.com/p/delta-variant-everything-you-need,301
https://www.jefftk.com/p/simplifying-board-games,298
https://www.abortretry.fail/p/be-is-nice-end-of-story,294
https://blog.bytebytego.com/p/algorithms-you-should-know-before,286
https://unchartedterritories.tomaspueyo.com/p/why-germany-wont-keep-its-nuclear,283
https://the.ink/p/we-can-have-democracy-or-we-can-have,283
https://www.residentcontrarian.com/p/what-does-shitty-job-mean-in-the,283
https://www.konichivalue.com/p/real-estate-housing-in-tokyo-is-far,283
https://www.lennysnewsletter.com/p/how-the-biggest-consumer-apps-got,280
https://www.jefftk.com/p/ceiling-air-purifier,273
https://bugs.chromium.org/p/chromium/issues/detail?id=1090393#c75,266
https://www.greenmatters.com/p/why-no-mosquitoes-disney-world,262
https://newsletter.mollywhite.net/p/ftx-explainer,261
https://sourceforge.net/p/sevenzip/discussion/45797/thread/9c2d9061ce/,254
https://lastweekin.ai/p/conscious-ai,253
https://blog.tjcx.me/p/new-york-times-ab-testing,248
https://www.lennysnewsletter.com/p/negotiating-comp,248
https://www.slowboring.com/p/misinformation-myth,247
https://www.jefftk.com/p/why-prefetch-is-broken,245
https://www.3m.com/3M/en_US/p/d/b10167835/,244
https://romero.com/shop/p/onehumanity,242
https://www.semianalysis.com/p/arm-changes-business-model-oem-partners,242
https://ccleve.com/p/dont-hire-remote-employees-living,240
https://spf13.com/p/spf13-google/,239
https://www.commonsense.news/p/us-public-health-agencies-arent-following,239
https://tech.davis-hansson.com/p/tower/,237
https://www.themvpsprint.com/p/how-and-when-to-acquire-saas-users,236
https://www.welltechnically.news/p/sex-is-going-out-of-fashion,232
https://www.simplanations.in/p/ipo-1,232
https://bugs.chromium.org/p/project-zero/issues/detail?id=2254,231
https://www.softwareatscale.dev/p/software-at-scale-34-faster-python,226
https://www.eclogiselle.com/p/policies-that-make-poor-less-poor.html,223
https://tips.ariyh.com/p/show-costs-to-boost-sales,221
https://www.the5to9.xyz/p/photopea-free-photoshop-alternative-making-millions,218
https://www.notboring.co/p/excel-never-dies,217
https://c3.handmade.network/blog/p/8486-the_case_against_a_c_alternative,217
https://bugs.chromium.org/p/chromium/issues/detail?id=1135492,216
https://refactoring.fm/p/the-true-meaning-of-technical-debt,215
http://cliffle.com/p/dangerust/6/,213
https://bugs.chromium.org/p/chromium/issues/detail?id=1065085,212
https://studio.ribbonfarm.com/p/one-tenth-of-a-second,210
https://www.commonsense.news/p/will-i-ever-see-the-36-million-oberlin,210
https://www.persuasion.community/p/if-you-want-peace-study-war-533,208
https://www.inquiremore.com/p/an-asian-uber-driver-was-attacked,207
https://newsletter.timber.fm/p/how-to-survive-a-toxic-workplace,207
